                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.82793,                0.42055,                0.97644,                0.97993,                      1,                0.99482,                0.68834,                  1.145,                0.44792,                  1.088,              0.0016436,              0.0016436,              0.0016436
                     92,                0.83652,                0.42102,                0.97994,                      1,                0.99951,                  0.995,                0.71882,                 1.1268,                0.44049,                 1.0629,              0.0016396,              0.0016396,              0.0016396
                     93,                0.86235,                0.43493,                0.98533,                 0.9987,                      1,                  0.995,                0.72949,                 1.1727,                0.42304,                  1.064,              0.0016357,              0.0016357,              0.0016357
                     94,                0.83496,                0.43876,                0.98831,                0.99866,                      1,                  0.995,                0.70107,                  1.184,                  0.445,                 1.0736,              0.0016317,              0.0016317,              0.0016317
                     95,                0.82004,                0.41902,                0.97391,                0.99891,                      1,                  0.995,                0.69516,                 1.2041,                0.44466,                 1.0755,              0.0016278,              0.0016278,              0.0016278
                     96,                0.83185,                0.42129,                0.96887,                0.99877,                      1,                  0.995,                0.71211,                 1.1943,                0.44212,                 1.0914,              0.0016238,              0.0016238,              0.0016238
                     97,                0.81491,                0.42707,                0.98118,                      1,                 0.9998,                  0.995,                0.71746,                 1.1389,                0.43219,                 1.0599,              0.0016198,              0.0016198,              0.0016198
                     98,                0.83202,                 0.4134,                0.96321,                0.99892,                0.98148,                0.99482,                0.73706,                  1.076,                0.43849,                 1.0445,              0.0016159,              0.0016159,              0.0016159
                     99,                0.85519,                0.43145,                0.99288,                0.99582,                0.98148,                0.99482,                0.67811,                 1.1899,                 0.4525,                 1.1002,              0.0016119,              0.0016119,              0.0016119
                    100,                0.79647,                0.41439,                0.95934,                0.98559,                      1,                  0.995,                0.73933,                 1.1417,                0.44195,                   1.08,               0.001608,               0.001608,               0.001608
                    101,                0.82465,                0.41639,                0.97602,                 0.9981,                0.98148,                  0.994,                0.71183,                 1.1648,                0.45551,                 1.0874,               0.001604,               0.001604,               0.001604
                    102,                0.83498,                0.41419,                0.97738,                0.99808,                0.98148,                0.99294,                0.70706,                 1.1385,                0.45764,                 1.0597,                 0.0016,                 0.0016,                 0.0016
                    103,                0.84485,                0.42392,                0.98524,                 0.9981,                0.92593,                0.99145,                 0.6787,                  1.186,                0.54726,                 1.0675,              0.0015961,              0.0015961,              0.0015961
                    104,                0.79853,                0.40566,                0.96486,                0.97824,                0.96296,                0.99075,                0.70985,                 1.1077,                0.50751,                  1.049,              0.0015921,              0.0015921,              0.0015921
                    105,                0.82179,                0.40276,                0.96491,                0.99881,                      1,                  0.995,                0.72216,                 1.0888,                0.40488,                  1.046,              0.0015882,              0.0015882,              0.0015882
                    106,                0.81003,                0.40611,                0.97276,                      1,                 0.9996,                  0.995,                0.71544,                 1.1498,                0.44044,                 1.0812,              0.0015842,              0.0015842,              0.0015842
                    107,                0.84006,                0.42075,                0.99416,                0.99874,                      1,                  0.995,                0.73795,                 1.1439,                0.42629,                  1.084,              0.0015802,              0.0015802,              0.0015802
                    108,                0.80528,                0.40769,                0.97785,                0.97992,                      1,                0.99482,                0.71643,                 1.1385,                0.44428,                 1.0612,              0.0015763,              0.0015763,              0.0015763
                    109,                0.80224,                0.40558,                0.96697,                0.99825,                0.98148,                0.99464,                0.69385,                 1.1481,                0.45698,                 1.0808,              0.0015723,              0.0015723,              0.0015723
                    110,                0.79769,                0.39457,                 0.9686,                0.99876,                      1,                  0.995,                0.75787,                 1.0757,                0.40359,                  1.046,              0.0015684,              0.0015684,              0.0015684
                    111,                0.80929,                0.40083,                0.96493,                0.99851,                      1,                  0.995,                 0.7289,                 1.1554,                0.44818,                 1.0878,              0.0015644,              0.0015644,              0.0015644
                    112,                0.83563,                0.40455,                0.98441,                0.99944,                      1,                  0.995,                0.71773,                  1.116,                0.41734,                 1.0549,              0.0015604,              0.0015604,              0.0015604
                    113,                0.80964,                0.40098,                0.96272,                0.98127,                0.97033,                 0.9941,                0.67045,                 1.1705,                0.47069,                 1.0859,              0.0015565,              0.0015565,              0.0015565
                    114,                   0.83,                0.40958,                0.99224,                0.99943,                      1,                  0.995,                0.71466,                 1.1107,                0.40763,                 1.0424,              0.0015525,              0.0015525,              0.0015525
                    115,                 0.8178,                 0.4051,                0.97403,                0.97902,                      1,                0.99482,                0.72823,                 1.1056,                0.43325,                 1.0449,              0.0015486,              0.0015486,              0.0015486
                    116,                0.82376,                0.40681,                0.98163,                0.99716,                      1,                  0.995,                0.71996,                 1.1428,                 0.4287,                 1.0746,              0.0015446,              0.0015446,              0.0015446
                    117,                0.82008,                0.40655,                0.97565,                0.99133,                      1,                  0.995,                0.70728,                 1.1232,                0.42957,                  1.058,              0.0015406,              0.0015406,              0.0015406
                    118,                0.78488,                0.40367,                0.95472,                0.99867,                      1,                  0.995,                0.71764,                   1.15,                0.42411,                 1.0839,              0.0015367,              0.0015367,              0.0015367
                    119,                0.79007,                0.39365,                0.96443,                0.99877,                      1,                  0.995,                0.73454,                 1.1397,                0.42954,                 1.0677,              0.0015327,              0.0015327,              0.0015327
                    120,                0.81488,                0.40305,                0.97486,                0.99871,                      1,                  0.995,                0.75196,                 1.1074,                0.41771,                 1.0545,              0.0015288,              0.0015288,              0.0015288
                    121,                0.80567,                0.40222,                0.95809,                0.99867,                      1,                  0.995,                0.73367,                 1.1044,                0.42439,                 1.0568,              0.0015248,              0.0015248,              0.0015248
                    122,                0.78864,                0.39907,                0.96698,                0.99594,                      1,                  0.995,                0.72918,                 1.0742,                 0.4122,                  1.029,              0.0015208,              0.0015208,              0.0015208
                    123,                0.82709,                0.40304,                0.96643,                0.99936,                      1,                  0.995,                0.74211,                 1.1054,                0.39211,                 1.0463,              0.0015169,              0.0015169,              0.0015169
                    124,                0.79396,                0.39561,                0.96032,                0.99994,                      1,                  0.995,                0.73411,                 1.0873,                 0.3935,                 1.0522,              0.0015129,              0.0015129,              0.0015129
                    125,                0.78525,                 0.3838,                0.95705,                0.97987,                0.98148,                0.99261,                0.73543,                 1.1163,                0.42596,                 1.0569,               0.001509,               0.001509,               0.001509
                    126,                0.79947,                0.39251,                0.96563,                0.99966,                      1,                  0.995,                0.74038,                 1.1033,                0.39618,                 1.0618,               0.001505,               0.001505,               0.001505
                    127,                0.77147,                0.38164,                0.94967,                0.99865,                      1,                  0.995,                0.70077,                 1.1354,                0.43198,                 1.0831,               0.001501,               0.001501,               0.001501
                    128,                0.80569,                0.40372,                0.95142,                      1,                0.99897,                  0.995,                0.71429,                 1.1208,                0.41606,                 1.0589,              0.0014971,              0.0014971,              0.0014971
                    129,                0.77383,                0.39204,                0.95916,                      1,                0.99904,                  0.995,                  0.744,                 1.0679,                0.42531,                 1.0401,              0.0014931,              0.0014931,              0.0014931
                    130,                 0.7677,                0.38716,                0.94927,                0.99877,                      1,                  0.995,                0.72168,                 1.0883,                0.39679,                 1.0515,              0.0014892,              0.0014892,              0.0014892
                    131,                0.83751,                0.40186,                0.97783,                 0.9987,                      1,                  0.995,                0.71144,                 1.1277,                0.40932,                 1.0695,              0.0014852,              0.0014852,              0.0014852
                    132,                0.79086,                0.39413,                0.95959,                      1,                0.99826,                  0.995,                0.71984,                 1.1162,                0.39836,                 1.0651,              0.0014812,              0.0014812,              0.0014812
                    133,                0.75918,                0.38264,                0.94041,                0.99893,                      1,                  0.995,                 0.7444,                 1.0947,                0.41964,                 1.0554,              0.0014773,              0.0014773,              0.0014773
                    134,                0.79181,                0.39727,                0.96952,                0.99837,                      1,                  0.995,                0.72564,                 1.0934,                0.41501,                  1.046,              0.0014733,              0.0014733,              0.0014733
                    135,                0.73002,                0.37412,                0.92391,                0.99865,                      1,                  0.995,                0.73515,                 1.0467,                0.38773,                  1.025,              0.0014694,              0.0014694,              0.0014694
                    136,                0.74304,                0.37087,                0.94008,                0.99861,                      1,                  0.995,                0.72318,                 1.1069,                0.40125,                 1.0463,              0.0014654,              0.0014654,              0.0014654
                    137,                 0.7671,                0.37941,                0.96202,                0.99607,                      1,                  0.995,                0.73657,                 1.1215,                0.40304,                 1.0441,              0.0014614,              0.0014614,              0.0014614
                    138,                0.76627,                0.38298,                0.93609,                0.99866,                      1,                  0.995,                0.74211,                 1.0707,                0.40391,                 1.0409,              0.0014575,              0.0014575,              0.0014575
